step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,overhead_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_step_start_w,gpu_power_step_end_w,gpu_power_data_transfer_start_w,gpu_power_data_transfer_end_w,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_data_transfer_j,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_overhead_j,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
59,252.216608,0.087562,76.676725,135.561545,38.026877,1.863899,3432.48876953125,10940.0,10615.47705078125,215.357,214.759,215.357,215.357,215.357,214.118,214.118,214.759,214.759,214.759,0.018857089634,16.4653682346875,29.069614367482497,8.166614077642999,0.400846391142,54.121300160588994,0.45101083467157493,41.0,96.0,76.0,0.5,2026-02-21T20:02:04.977874
60,252.190239,0.085622,77.105892,135.325892,37.796044,1.876789,3432.48876953125,10940.0,10615.47705078125,214.759,215.023,214.759,214.759,214.759,211.908,211.908,215.023,215.023,215.023,0.018388095098,16.449269810982,28.887409198726,8.127018769012,0.403305064999,53.885390938817,0.44904492449014166,41.0,97.0,76.0,0.5,2026-02-21T20:02:05.231882
61,252.595264,0.085912,77.040632,135.376702,38.077908,2.01411,3432.48876953125,10940.0,10615.47705078125,215.023,212.79,215.023,215.023,215.023,213.478,213.478,214.887,214.887,212.79,0.018473055975999998,16.505993926316,28.995320476114998,8.142522729858001,0.43083122071499996,54.093141408979996,0.4507761784081666,41.0,98.0,75.0,0.5,2026-02-21T20:02:05.487659
62,251.997566,0.091032,76.679605,135.287671,38.052808,1.88645,3432.48876953125,10940.0,10615.47705078125,212.79,214.695,212.79,212.79,212.79,212.79,212.79,214.695,214.695,214.695,0.01937069928,16.31665314795,28.9167250187175,8.16974761356,0.403214539125,53.8257110186325,0.44854759182193743,42.0,97.0,68.0,0.5,2026-02-21T20:02:05.741651
63,251.844353,0.086751,76.796437,135.305821,37.777444,1.8779,3432.48876953125,10940.0,10615.47705078125,214.695,212.967,214.695,214.695,214.695,212.342,212.342,214.524,214.524,212.967,0.018625005945,16.3974600335845,28.878727293492997,8.074758656502,0.40155323490000006,53.7711242244245,0.4480927018702041,42.0,97.0,76.0,0.5,2026-02-21T20:02:05.995391
64,251.995736,0.084911,76.968529,135.234291,37.870635,1.83737,3432.48876953125,10940.0,10615.47705078125,212.967,214.646,212.967,212.967,212.967,212.967,212.967,214.646,214.646,214.646,0.018083240937000002,16.391756715543,28.9139704386915,8.12878032021,0.392841648905,53.845432364286495,0.44871193636905415,42.0,97.0,76.0,0.5,2026-02-21T20:02:06.249760
65,251.963134,0.085462,76.737006,135.340882,37.901185,1.898599,3432.48876953125,10940.0,10615.47705078125,214.646,213.738,214.646,214.646,214.646,212.585,212.585,214.859,214.859,213.738,0.018344076452,16.392213905193,28.925323982804,8.1221670937225,0.406664717008,53.864713775179496,0.4488726147931624,42.0,99.0,71.0,0.5,2026-02-21T20:02:06.503932
66,251.946905,0.086072,76.654714,135.557056,37.777293,1.87177,3432.48876953125,10940.0,10615.47705078125,213.738,214.592,213.738,213.738,213.738,215.534,215.534,214.592,214.592,214.592,0.018396857136,16.452861194104,29.153307134528,8.106704859456002,0.40086762205000004,54.132137667274,0.45110114722728334,42.0,97.0,72.0,0.5,2026-02-21T20:02:06.757704
67,252.392261,0.086531,77.093351,135.485344,37.848924,1.878111,3432.48876953125,10940.0,10615.47705078125,214.592,214.314,214.592,214.592,214.592,212.618,212.618,215.055,215.055,214.314,0.018568860352,16.467525240355002,28.971711762256003,8.125577324478,0.402766538283,53.986149725724005,0.44988458104770007,42.0,97.0,76.0,0.5,2026-02-21T20:02:07.011897
68,252.29521,0.085801,76.920989,135.415972,37.886065,1.986383,3432.48876953125,10940.0,10615.47705078125,214.314,214.861,214.314,214.314,214.314,214.681,214.681,214.861,214.861,214.861,0.018388355514,16.499359838027498,29.083423722412,8.140237811965,0.42625296201249996,54.167662689931,0.45139718908275833,42.0,97.0,77.0,0.5,2026-02-21T20:02:07.266562
69,251.929904,0.087482,76.758626,135.360922,37.801624,1.92125,3432.48876953125,10940.0,10615.47705078125,214.861,215.127,214.861,214.861,214.861,211.955,211.955,215.127,215.127,215.127,0.018796470002,16.380904857408,28.905106644801997,8.132149966248,0.4130572225,53.85001516096,0.4487501263413333,42.0,99.0,68.0,0.6,2026-02-21T20:02:07.520270
70,252.541674,0.084691,76.96601,135.555315,38.059938,1.87572,3432.48876953125,10940.0,10615.47705078125,215.127,214.645,215.127,215.127,215.127,214.15,214.15,214.645,214.645,214.645,0.018219320757,16.519868937385002,29.062720647712503,8.16937539201,0.40306596792000005,54.1732502657845,0.4514437522148708,43.0,97.0,77.0,0.5,2026-02-21T20:02:07.774592
71,252.059646,0.086932,77.024811,135.19864,37.886295,1.862968,3432.48876953125,10940.0,10615.47705078125,214.645,215.159,214.645,214.645,214.645,211.922,211.922,215.159,215.159,215.159,0.01865951914,16.4281212769185,28.870385184920003,8.151577345905,0.40035554913599997,53.8690988760195,0.4489091573001625,43.0,97.0,75.0,0.5,2026-02-21T20:02:08.028771
72,251.884664,0.085402,76.759016,135.310441,37.866514,1.863291,3432.48876953125,10940.0,10615.47705078125,215.159,214.749,215.159,215.159,215.159,213.959,213.959,215.266,215.266,214.749,0.018375008918,16.469337713944,29.0393120191125,8.141584508854999,0.400521853614,54.0691311044435,0.4505760925370292,42.0,98.0,74.0,0.5,2026-02-21T20:02:08.286683
73,252.020576,0.087131,76.656795,135.577836,37.798994,1.89982,3432.48876953125,10940.0,10615.47705078125,214.749,214.479,214.749,214.749,214.749,214.749,214.749,214.479,214.479,214.479,0.018711295119,16.461970069455,29.096901695304002,8.107090434126,0.40772796948,54.092401463484,0.45077001219570006,43.0,96.0,67.0,0.5,2026-02-21T20:02:08.540506
74,252.121057,0.086792,76.857298,135.474944,37.834434,1.867589,3432.48876953125,10940.0,10615.47705078125,214.479,212.789,214.479,214.479,214.479,212.249,212.249,214.506,214.506,212.789,0.018615061368,16.398580530472,28.907304863360004,8.083232238014999,0.398980508426,53.806713201641,0.4483892766803417,43.0,97.0,76.0,0.5,2026-02-21T20:02:08.794593
75,251.748281,0.086831,76.37867,135.20932,38.1408,1.93266,3432.48876953125,10940.0,10615.47705078125,212.789,215.387,212.789,212.789,212.789,212.789,212.789,215.387,215.387,215.387,0.018476681659,16.25254081063,28.94669290016,8.2150324896,0.41375931408,53.846502196128995,0.4487208516344083,43.0,97.0,76.0,0.6,2026-02-21T20:02:09.049261
76,252.343911,0.097372,76.979069,135.434784,37.912476,1.92021,3432.48876953125,10940.0,10615.47705078125,215.387,213.376,215.387,215.387,215.387,212.352,212.352,214.581,214.581,213.376,0.020972662964,16.4634749974955,28.910789318736,8.112454745766,0.4116575001150001,53.9193492250765,0.44932791020897084,43.0,99.0,71.0,0.5,2026-02-21T20:02:09.303691
77,252.93654,0.089141,77.766082,135.303222,37.867515,1.91058,3432.48876953125,10940.0,10615.47705078125,213.376,213.294,213.376,213.376,213.376,213.734,213.734,213.294,213.294,213.294,0.019020550016,16.60733564151,28.889132142108,8.07691374441,0.40759358430000003,53.999995662344,0.44999996385286667,43.0,97.0,72.0,0.5,2026-02-21T20:02:09.558431
78,251.844663,0.087491,76.39959,135.566825,37.872396,1.918361,3432.48876953125,10940.0,10615.47705078125,213.294,213.895,213.294,213.294,213.294,211.178,211.178,214.586,214.586,213.895,0.018661305354000002,16.21474338324,28.85973683965,8.113801055238001,0.4097513586145,53.616693942096504,0.4468057828508042,43.0,97.0,76.0,0.5,2026-02-21T20:02:09.812041
79,250.904298,0.087091,75.916053,135.132518,37.860245,1.908391,3432.48876953125,10940.0,10615.47705078125,213.895,215.282,213.895,213.895,213.895,215.446,215.446,215.282,215.282,215.282,0.018628329445,16.2969370555365,29.102679606552,8.15062926409,0.4095187621035,53.978393017727,0.44981994181439167,44.0,97.0,77.0,0.5,2026-02-21T20:02:10.065136
80,251.862542,0.089221,76.734556,135.365652,37.733313,1.9398,3432.48876953125,10940.0,10615.47705078125,215.282,216.649,215.282,215.282,215.282,212.562,212.562,216.649,216.649,216.649,0.019207675322000003,16.415209688632,29.050213430286,8.174884528137,0.41892987690000005,54.078445199277006,0.4506537099939751,44.0,99.0,68.0,0.5,2026-02-21T20:02:10.318811
81,252.741017,0.088141,77.155163,135.761838,37.839015,1.89686,3432.48876953125,10940.0,10615.47705078125,216.649,217.837,216.649,216.649,216.649,215.575,215.575,217.837,217.837,217.837,0.019095659509,16.674156586256,29.420404865627997,8.242737510555,0.41207955698,54.768474178927995,0.4564039514910666,44.0,97.0,77.0,0.5,2026-02-21T20:02:10.573365
82,253.043392,0.088552,77.048191,135.607656,38.325152,1.973841,3432.48876953125,10940.0,10615.47705078125,217.837,217.214,217.837,217.837,217.837,214.893,214.893,217.214,217.214,217.214,0.019289902024,16.670531845715,29.298508705595996,8.324759566528,0.4293607504455,54.742450770308494,0.4561870897525708,44.0,97.0,76.0,0.6,2026-02-21T20:02:10.828600
83,252.632995,0.093241,76.98976,135.607316,37.999797,1.942881,3432.48876953125,10940.0,10615.47705078125,217.214,213.259,217.214,217.214,217.214,215.904,215.904,216.058,216.058,213.259,0.020253250574,16.67282543584,29.288603716996,8.1569794243245,0.41817890635649996,54.55684073409101,0.45464033945075844,44.0,98.0,75.0,0.5,2026-02-21T20:02:11.085955
84,252.193688,0.089361,76.742236,135.597086,37.858334,1.906671,3432.48876953125,10940.0,10615.47705078125,213.259,214.998,213.259,213.259,213.259,213.259,213.259,214.998,214.998,214.998,0.019057037499,16.365972507124,29.035200629550996,8.139466093332,0.40827260122349995,53.9679688687295,0.4497330739060792,44.0,96.0,67.0,0.5,2026-02-21T20:02:11.340121
85,252.086897,0.086971,77.00159,135.255811,37.838374,1.904151,3432.48876953125,10940.0,10615.47705078125,214.998,213.623,214.998,214.998,214.998,212.704,212.704,215.083,215.083,213.623,0.018698591058,16.46686702309,28.930338810128504,8.110768982022,0.40807955288549996,53.93475295918401,0.44945627465986676,44.0,96.0,76.0,0.5,2026-02-21T20:02:11.594001
86,252.30842,0.087071,77.098431,135.450405,37.814134,1.858379,3432.48876953125,10940.0,10615.47705078125,213.623,215.296,213.623,213.623,213.623,213.623,213.623,215.296,215.296,215.296,0.018600368232999997,16.469998125512998,29.0486261310975,8.141231793664,0.3985470311505,54.077003449657994,0.4506416954138166,44.0,97.0,76.0,0.5,2026-02-21T20:02:11.848257
87,252.185828,0.087052,76.878898,135.466295,37.874375,1.879208,3432.48876953125,10940.0,10615.47705078125,215.296,214.598,215.296,215.296,215.296,213.335,213.335,215.705,215.705,214.598,0.018741947392,16.476339464319,29.0602296034,8.1487285928125,0.40393012197600003,54.10796972989951,0.4508997477491626,44.0,99.0,71.0,0.5,2026-02-21T20:02:12.102643
88,252.138347,0.086981,76.703225,135.559025,37.905385,1.883731,3432.48876953125,10940.0,10615.47705078125,214.598,215.798,214.598,214.598,214.598,216.457,216.457,215.798,215.798,215.798,0.018665948638,16.5316543261875,29.2980331756875,8.17990627223,0.40537514373800004,54.433634866481,0.45361362388734167,44.0,97.0,73.0,0.5,2026-02-21T20:02:12.356552
89,253.156464,0.086082,77.341635,135.760469,38.050428,1.91785,3432.48876953125,10940.0,10615.47705078125,215.798,215.486,215.798,215.798,215.798,213.849,213.849,216.25,216.25,215.486,0.018576323436,16.6148007264225,29.1952209782155,8.213869791503999,0.4135690097,54.45603682927799,0.45380030691064993,44.0,97.0,76.0,0.6,2026-02-21T20:02:12.611530
90,252.893789,0.092521,77.243514,135.772328,37.899926,1.8855,3432.48876953125,10940.0,10615.47705078125,215.486,215.845,215.486,215.486,215.486,215.678,215.678,215.845,215.845,215.845,0.019936980206,16.652311235147998,29.294441147772,8.18050952747,0.40663730025,54.553836190846,0.4546153015903833,44.0,97.0,77.0,0.5,2026-02-21T20:02:12.866611
91,252.34884,0.087001,76.860498,135.598365,37.856705,1.946271,3432.48876953125,10940.0,10615.47705078125,215.845,216.045,215.845,215.845,215.845,212.952,212.952,216.045,216.045,216.045,0.018778730845,16.478775480453002,29.085645894952496,8.178751831724998,0.420287491095,54.1822394290705,0.4515186619089208,45.0,99.0,69.0,0.5,2026-02-21T20:02:13.121323
92,252.494252,0.085852,76.878298,135.711728,37.968146,1.850228,3432.48876953125,10940.0,10615.47705078125,216.045,215.623,216.045,216.045,216.045,215.087,215.087,215.623,215.623,215.623,0.01854789534,16.572347186667997,29.22619918344,8.186805544958,0.399342110152,54.40324192055799,0.45336034933798325,45.0,96.0,76.0,0.5,2026-02-21T20:02:13.375667
93,252.688126,0.085721,77.203363,135.738178,37.804094,1.85677,3432.48876953125,10940.0,10615.47705078125,215.623,215.755,215.623,215.623,212.89,212.89,212.89,215.755,215.755,215.755,0.018483419182999998,16.43582394907,29.091745654404995,8.15642230097,0.40048486453,54.102960188157994,0.4508580015679833,45.0,97.0,75.0,0.5,2026-02-21T20:02:13.630149
94,252.541503,0.086022,77.050101,135.676057,37.846264,1.883059,3432.48876953125,10940.0,10615.47705078125,215.755,213.804,215.755,215.755,215.755,214.52,214.52,215.81,215.81,213.804,0.01855967661,16.576366103887498,29.192738804405,8.129642431048,0.4044424704905,54.321749486441,0.45268124572034163,45.0,98.0,75.0,0.5,2026-02-21T20:02:13.885188
95,252.27379,0.086231,76.827327,135.675308,37.834204,1.85072,3432.48876953125,10940.0,10615.47705078125,213.804,215.796,213.804,213.804,213.804,213.804,213.804,215.796,215.796,215.796,0.018436532723999997,16.425989821908,29.1430561584,8.164469886384001,0.397534656,54.149487055415996,0.4512457254618,45.0,97.0,68.0,0.7,2026-02-21T20:02:14.139560
96,252.517654,0.086431,77.054421,135.441324,38.050848,1.88463,3432.48876953125,10940.0,10615.47705078125,215.796,214.327,215.796,215.796,215.796,213.554,213.554,215.843,215.843,214.327,0.018651464076,16.541657828175,29.079049100814,8.18416664208,0.40531135474499996,54.228836389890006,0.45190696991575,45.0,96.0,76.0,0.6,2026-02-21T20:02:14.393888
97,252.562184,0.086321,77.202293,135.455424,37.920576,1.89757,3432.48876953125,10940.0,10615.47705078125,214.327,215.991,214.327,214.327,214.327,214.327,214.327,215.991,215.991,215.991,0.018500920967,16.546535851811,29.144453572415998,8.190503130816,0.40827926362999994,54.308272739639996,0.452568939497,45.0,96.0,76.0,0.5,2026-02-21T20:02:14.648238
98,252.476885,0.085451,76.981334,135.718518,37.836112,1.85547,3432.48876953125,10940.0,10615.47705078125,215.991,215.139,215.991,215.991,215.991,214.005,214.005,216.159,216.159,215.139,0.018456646941000004,16.550832847332,29.190610288476,8.159319716688,0.39997439055,54.319193889987005,0.45265994908322504,45.0,99.0,71.0,0.5,2026-02-21T20:02:14.902874
99,252.164011,0.087391,76.814011,135.506706,37.881162,1.874741,3432.48876953125,10940.0,10615.47705078125,215.139,215.891,215.139,215.139,215.139,216.728,216.728,215.891,215.891,215.891,0.018801212349,16.5867182442685,29.311387821507005,8.178201945342,0.404034806615,54.49914403008151,0.45415953358401256,45.0,97.0,73.0,0.5,2026-02-21T20:02:15.156857
100,252.981273,0.085821,77.234009,135.930761,37.853002,1.87768,3432.48876953125,10940.0,10615.47705078125,215.891,215.507,215.891,215.891,215.891,213.754,213.754,216.228,216.228,215.507,0.018527981511,16.5916028984025,29.223890238151,8.171232909235,0.40501369832000006,54.4102677256195,0.4534188977134958,46.0,97.0,76.0,0.5,2026-02-21T20:02:15.411628
101,252.584027,0.086472,77.110756,135.671018,37.828442,1.887339,3432.48876953125,10940.0,10615.47705078125,215.507,215.92,215.507,215.507,215.507,215.649,215.649,215.92,215.92,215.92,0.018635321304,16.623382556968,29.275702783621,8.16791719664,0.4071245013765,54.4927623599095,0.4541063529992458,46.0,97.0,76.0,0.5,2026-02-21T20:02:15.666382
102,252.457975,0.086622,76.921724,135.652177,37.892702,1.90475,3432.48876953125,10940.0,10615.47705078125,215.92,216.151,215.92,215.92,215.92,212.805,212.805,216.151,216.151,216.151,0.01870342224,16.48913306095,29.094407618606002,8.190545430002,0.411493618625,54.20428315042301,0.45170235958685845,46.0,99.0,69.0,0.5,2026-02-21T20:02:15.921044
103,252.634957,0.102231,76.922733,135.730369,37.986284,1.89334,3432.48876953125,10940.0,10615.47705078125,216.151,215.801,216.151,216.151,216.151,215.173,215.173,215.801,215.801,215.801,0.022097332881000003,16.589310444246,29.248130024703,8.197478073484,0.40891599984000004,54.465931875154,0.4538827656262833,46.0,96.0,76.0,0.5,2026-02-21T20:02:16.175682
104,253.214687,0.085941,77.32847,136.116245,37.796731,1.8873,3432.48876953125,10940.0,10615.47705078125,213.047,215.707,213.047,213.047,213.047,213.047,213.047,215.707,215.707,215.707,0.018309472227,16.47459854809,29.180192254365,8.153019453817,0.4045937121,54.230713440599004,0.45192261200499173,46.0,97.0,76.0,0.5,2026-02-21T20:02:16.430690
105,253.155056,0.087281,77.225048,135.747979,38.023655,2.071093,3432.48876953125,10940.0,10615.47705078125,215.707,213.823,215.707,215.707,215.707,214.423,214.423,215.721,215.721,213.823,0.018827122667,16.60840494812,29.195589339488,8.16641643166,0.44479828814499994,54.434036130079996,0.4536169677506666,46.0,99.0,74.0,0.6,2026-02-21T20:02:16.685992
106,253.219918,0.107602,77.113346,135.725609,38.013554,2.259807,3432.48876953125,10940.0,10615.47705078125,213.823,215.622,213.823,213.823,213.823,213.823,213.823,215.622,215.622,215.622,0.023007782446000002,16.488606981758,29.143342078502503,8.196558540588,0.4852314085575,54.33674679185201,0.4528062232654334,46.0,97.0,69.0,0.5,2026-02-21T20:02:16.941424
107,252.470595,0.086771,76.854013,135.757588,37.851902,1.920321,3432.48876953125,10940.0,10615.47705078125,215.622,214.252,215.622,215.622,215.622,213.408,213.408,215.689,215.689,214.252,0.018709736562,16.486338598695,29.126586869018002,8.137042298891,0.412748034777,54.18142553794301,0.45151187948285837,46.0,96.0,76.0,0.5,2026-02-21T20:02:17.195698
108,253.127605,0.086732,77.315139,135.967912,37.864522,1.8933,3432.48876953125,10940.0,10615.47705078125,214.252,215.266,214.252,214.252,214.252,214.252,214.252,215.266,215.266,215.266,0.018582504464,16.564923161028002,29.200332813208,8.150944192851998,0.40660321470000005,54.341385886252,0.4528448823854333,46.0,97.0,77.0,0.6,2026-02-21T20:02:17.452011
109,252.644378,0.089782,77.159967,135.675558,37.817952,1.901119,3432.48876953125,10940.0,10615.47705078125,215.266,214.477,215.266,215.266,215.266,212.769,212.769,215.107,215.107,214.477,0.019327012012,16.5135832374225,29.026157527404,8.122993545984,0.4084962912085,54.090557614031,0.4507546467835917,46.0,99.0,70.0,0.5,2026-02-21T20:02:17.706496
110,252.723868,0.086392,77.078275,135.862801,37.827922,1.868478,3432.48876953125,10940.0,10615.47705078125,214.477,214.973,214.477,214.477,214.477,215.61,215.61,214.973,214.973,214.973,0.018529096983999998,16.5751820299625,29.250106221491503,8.131981876106,0.40120893855000006,54.377008163094004,0.45314173469245,46.0,97.0,74.0,0.5,2026-02-21T20:02:17.961424
111,252.500276,0.088132,76.915863,135.668058,37.920943,1.90728,3432.48876953125,10940.0,10615.47705078125,214.973,215.641,214.973,214.973,214.973,212.483,212.483,215.641,215.641,215.641,0.018946000436,16.439073567264,29.041375831596003,8.177310069463,0.41065073496,54.087356203719004,0.45072796836432505,47.0,96.0,75.0,0.5,2026-02-21T20:02:18.215718
112,253.39628,0.087251,77.422712,136.126354,37.862153,1.89781,3432.48876953125,10940.0,10615.47705078125,215.641,215.375,215.641,215.641,215.641,214.881,214.881,215.375,215.375,215.375,0.018814892891,16.666090407832,29.284590283312,8.154561202375001,0.40899323747999994,54.53305002389,0.4544420835324166,47.0,97.0,76.0,0.6,2026-02-21T20:02:18.470912
113,252.877333,0.088322,77.222209,135.856461,37.832632,1.877709,3432.48876953125,10940.0,10615.47705078125,215.375,216.316,215.375,215.375,215.375,212.654,212.654,216.316,216.316,216.316,0.01902235075,16.5266724480305,29.139173037585003,8.183803623712,0.4052950379595,54.273966498037,0.45228305415030834,47.0,99.0,69.0,0.5,2026-02-21T20:02:18.725962
114,252.841211,0.087661,77.125236,135.912012,37.844782,1.87152,3432.48876953125,10940.0,10615.47705078125,216.316,213.901,216.316,216.316,216.316,215.207,215.207,216.096,216.096,213.901,0.018962476876,16.640656607214,29.309629255818,8.136571362827,0.40257985992,54.508399562655,0.454236663022125,47.0,96.0,76.0,0.5,2026-02-21T20:02:18.980879
115,252.885992,0.086581,76.939734,136.062584,37.859272,1.937821,3432.48876953125,10940.0,10615.47705078125,213.901,216.236,213.901,213.901,213.901,213.901,213.901,216.236,216.236,216.236,0.018519762481000002,16.457486042334,29.262775847003997,8.186537540191999,0.4167642557385,54.342083447749495,0.45285069539791245,47.0,96.0,76.0,0.5,2026-02-21T20:02:19.235546
116,253.420611,0.088621,77.452092,136.168676,37.847142,1.86408,3432.48876953125,10940.0,10615.47705078125,216.236,214.234,216.236,216.236,216.236,213.881,213.881,215.897,215.897,214.234,0.019163050556,16.656730727381998,29.261150616964,8.139614517801,0.40121525880000003,54.477874171503,0.45398228476252495,47.0,99.0,73.0,0.5,2026-02-21T20:02:19.490793
117,252.720519,0.086191,77.204878,135.739378,37.820262,1.86981,3432.48876953125,10940.0,10615.47705078125,214.234,215.889,214.234,214.234,214.234,214.234,214.234,215.889,215.889,215.889,0.018465042694,16.539909833452,29.192314241747003,8.164978542918,0.402124143315,54.317791804126,0.4526482650343833,47.0,97.0,71.0,0.5,2026-02-21T20:02:19.745637
118,252.7926,0.085402,77.135977,135.896302,37.820092,1.854827,3432.48876953125,10940.0,10615.47705078125,215.889,214.948,215.889,215.889,215.889,213.877,213.877,215.992,215.992,214.948,0.018437352378000003,16.575210145691,29.208803722219002,8.14909522324,0.3995640500995,54.3511104936275,0.4529259207802292,47.0,96.0,76.0,0.5,2026-02-21T20:02:20.000532
119,252.932732,0.086301,77.056265,136.091684,37.810372,1.88811,3432.48876953125,10940.0,10615.47705078125,214.948,215.506,214.948,214.948,214.948,216.466,216.466,215.506,215.506,215.506,0.018550227348,16.621575754355,29.393898460423998,8.148362028232,0.40637225097,54.588758721329,0.45490632267774167,47.0,97.0,77.0,0.5,2026-02-21T20:02:20.255238
120,253.462181,0.085882,77.523663,136.097535,37.892333,1.862768,3432.48876953125,10940.0,10615.47705078125,215.506,215.281,215.506,215.506,215.506,213.13,213.13,215.576,215.576,215.281,0.018508086292,16.614716406834,29.172914919855,8.1630884596905,0.40122811920800006,54.370455991879496,0.45308713326566247,48.0,98.0,69.0,0.5,2026-02-21T20:02:20.510508
121,252.999674,0.086721,77.259118,135.968023,37.819762,1.86605,3432.48876953125,10940.0,10615.47705078125,215.281,215.649,215.281,215.281,215.281,215.617,215.617,215.649,215.649,215.649,0.018669383601,16.645399713982002,29.319192703558997,8.155793855538,0.40206846325,54.541124119930004,0.45450936766608335,48.0,97.0,75.0,0.5,2026-02-21T20:02:20.765645
122,252.764009,0.085651,77.108696,135.899941,37.787751,1.88197,3432.48876953125,10940.0,10615.47705078125,215.649,215.812,215.649,215.649,215.649,212.708,212.708,215.812,215.812,215.812,0.018470552499,16.515024846236,29.11792135866,8.155050118812001,0.405998329085,54.212465205292,0.45177054337743333,48.0,96.0,76.0,0.5,2026-02-21T20:02:21.020477
123,252.351044,0.085841,76.947144,135.555246,37.883403,1.87941,3432.48876953125,10940.0,10615.47705078125,215.812,215.964,215.812,215.812,215.812,214.974,214.974,215.964,215.964,215.964,0.018525517892,16.573876187592,29.207953300373998,8.181451245492001,0.40574206608,54.387548317429996,0.45322956931191666,48.0,97.0,76.0,0.5,2026-02-21T20:02:21.274761
124,253.831046,0.086121,77.486412,136.4673,37.880982,1.910231,3432.48876953125,10940.0,10615.47705078125,213.5,216.184,213.5,213.5,213.5,213.5,213.5,216.184,216.184,216.184,0.018386833499999998,16.543348962,29.3189076666,8.189262212688,0.410397848502,54.48030352329,0.45400252936075,48.0,99.0,69.0,0.5,2026-02-21T20:02:21.530357
