step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_utilization,cpu_utilization,timestamp
40,251.139305,77.344774,135.068018,37.777328,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:46:58.985647
41,250.727608,77.020659,134.929286,37.828568,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:59.238079
42,251.869647,77.459926,135.270191,38.125794,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:59.491686
43,251.304058,77.414205,135.148529,37.782168,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:46:59.745143
44,250.588406,76.988089,134.877455,37.780708,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:59.997420
45,251.42661,77.411996,135.17604,37.854629,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:00.250558
46,251.227276,77.287544,135.106838,37.891449,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:00.503801
47,250.573317,76.932567,134.802763,37.89393,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:00.756079
48,251.563223,77.440916,135.145329,37.970832,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:01.009367
49,251.120864,77.312654,135.026867,37.816488,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:01.262754
50,250.81681,76.971259,134.947976,37.929131,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:01.515343
51,251.321588,77.439556,135.026377,37.91738,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:01.768345
52,251.004963,77.232443,134.980107,37.834889,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:02.021421
53,251.489011,77.140731,135.084889,38.234016,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:02.274620
54,251.382909,77.538587,135.078239,37.808278,3437.98876953125,10940.0,10616.72705078125,99.0,0.6,2026-02-18T17:47:02.527721
55,251.249966,77.206082,135.16887,37.929089,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:02.781020
56,251.792935,77.1315,135.82757,37.89128,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:03.034513
57,251.230807,77.444996,134.990437,37.831449,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:03.287574
58,251.061394,77.128162,135.166959,37.828939,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:03.540820
59,251.181016,77.101101,135.292682,37.815678,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:03.793697
60,251.213017,77.472496,135.057657,37.744247,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:47:04.046668
61,251.003193,77.126161,135.144009,37.782908,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:04.299768
62,250.952093,77.1004,135.061278,37.848639,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:04.552399
63,251.637043,77.440496,135.399482,37.847449,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:47:04.806187
64,251.516141,77.145641,134.946576,38.432188,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:05.059866
65,252.450006,78.30518,135.333132,37.858489,3437.98876953125,10940.0,10616.72705078125,99.0,0.6,2026-02-18T17:47:05.314114
66,251.494741,77.550008,135.18521,37.802308,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:05.567286
67,251.333348,77.326174,135.25346,37.806198,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:05.820697
68,251.391069,77.11249,135.297702,38.024022,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:06.074185
69,251.557083,77.603918,135.095979,37.89487,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:06.327449
70,251.497281,77.365774,135.18517,37.995302,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:06.581018
71,251.114905,77.10121,135.1792,37.88229,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:06.833939
72,251.49576,77.504237,135.17972,37.853319,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:07.087126
73,251.43514,77.343704,135.246401,37.89077,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:07.340654
74,251.050924,77.142092,135.095278,37.87677,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:07.593435
75,251.760535,77.595488,135.249051,37.91473,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:07.846957
76,251.742175,77.435936,135.243001,38.105363,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:08.100822
77,251.153916,77.109331,135.281131,37.786469,3437.98876953125,10940.0,10616.72705078125,98.0,0.6,2026-02-18T17:47:08.353673
78,251.781195,77.559028,135.320422,37.953371,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:08.607153
79,251.610403,77.361094,135.410673,37.88872,3437.98876953125,10940.0,10616.72705078125,98.0,0.6,2026-02-18T17:47:08.860770
80,251.108465,77.090331,135.19465,37.850969,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:09.113579
81,251.886717,77.569578,135.461384,37.868579,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:09.367159
82,252.238742,77.410615,135.471975,38.275226,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:09.621625
83,251.716825,77.383695,135.414914,37.85384,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:09.875112
84,251.914157,77.489456,135.600646,37.848009,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:10.128707
85,251.763355,77.536167,135.344703,37.9262,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:10.382498
86,251.579182,77.252962,135.450684,37.8956,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:10.635768
87,251.645093,77.405785,135.436594,37.846359,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:10.889120
