step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_step_j,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
19,251.208654,77.072482,134.791338,37.85928,3432.48876953125,10940.0,10615.47705078125,214.15,212.017,212.017,214.475,214.475,213.575,16.422874218247,28.743713663148,8.102832401999999,53.269420283395,36.0,97.0,77.0,0.5,2026-02-20T14:42:56.968069
20,250.96625,76.86906,134.699546,37.899781,3432.48876953125,10940.0,10615.47705078125,213.575,214.664,214.664,214.712,214.712,214.712,16.45916469267,28.918376131648,8.137537778072,53.515078602390005,36.0,97.0,77.0,0.6,2026-02-20T14:42:57.220674
21,251.930495,77.293625,135.248525,37.84392,3432.48876953125,10940.0,10615.47705078125,214.712,212.263,212.263,214.761,214.761,213.702,16.501222767187503,28.8771830698,8.10735974748,53.4857655844675,36.0,98.0,70.0,0.5,2026-02-20T14:42:57.474327
22,251.667021,77.184664,135.127522,37.8794,3432.48876953125,10940.0,10615.47705078125,213.702,213.608,213.608,213.978,213.978,213.978,16.49088938692,28.889318310946003,8.1053582532,53.485565951066,36.0,97.0,75.0,0.5,2026-02-20T14:42:57.727998
23,250.907139,76.836229,134.638535,37.945371,3432.48876953125,10940.0,10615.47705078125,213.978,211.551,211.551,214.846,214.846,214.846,16.3480218450705,28.7047337041975,8.152411177866,53.205166727134,36.0,97.0,76.0,0.5,2026-02-20T14:42:57.980594
24,252.066808,77.226284,135.292965,38.063754,3432.48876953125,10940.0,10615.47705078125,214.846,213.572,213.572,214.253,214.253,214.253,16.542565069356,28.940856375562497,8.155273485761999,53.6386949306805,36.0,97.0,77.0,0.5,2026-02-20T14:42:58.234654
25,251.657141,77.138933,135.128523,37.902152,3432.48876953125,10940.0,10615.47705078125,214.253,210.983,210.983,213.978,213.978,213.978,16.401125656594,28.7121761313015,8.110226680656,53.2235284685515,36.0,99.0,69.0,0.6,2026-02-20T14:42:58.488456
26,252.087827,76.96852,134.88571,38.660763,3432.48876953125,10940.0,10615.47705078125,213.978,212.322,212.322,213.849,213.849,211.462,16.405840038,28.742188958205,8.2214238861465,53.369452882351496,37.0,96.0,77.0,0.6,2026-02-20T14:42:58.742655
27,251.345117,77.129483,134.771287,37.83206,3432.48876953125,10940.0,10615.47705078125,211.462,211.462,211.462,213.659,213.659,213.659,16.309954734146,28.647052150363496,8.08316010754,53.04016699204949,37.0,96.0,76.0,0.5,2026-02-20T14:42:58.995909
28,251.489949,77.164494,134.992151,37.85629,3432.48876953125,10940.0,10615.47705078125,213.659,211.276,211.276,213.466,213.466,211.451,16.394947128945,28.668418100021004,8.042890588965001,53.10625581793101,37.0,99.0,74.0,0.6,2026-02-20T14:42:59.249395
29,251.407827,76.93736,135.155743,37.822309,3432.48876953125,10940.0,10615.47705078125,211.451,211.451,211.451,214.184,214.184,214.184,16.26848170936,28.7635073359025,8.100933430856,53.132922476118495,37.0,97.0,69.0,0.6,2026-02-20T14:42:59.502839
30,250.903939,76.94874,134.691136,37.758749,3432.48876953125,10940.0,10615.47705078125,214.184,211.798,211.798,214.296,214.296,212.714,16.38938908134,28.695542451391997,8.061681705245,53.146613237977,37.0,97.0,76.0,0.5,2026-02-20T14:42:59.755408
31,251.392267,77.121743,134.776677,38.013853,3432.48876953125,10940.0,10615.47705078125,212.714,212.714,212.714,214.703,214.703,214.703,16.404874440502002,28.802921476654504,8.161688280659,53.3694841978155,38.0,97.0,76.0,0.5,2026-02-20T14:43:00.008814
32,251.393466,76.9482,135.096562,37.84564,3432.48876953125,10940.0,10615.47705078125,214.703,212.477,212.477,214.828,214.828,213.702,16.435366037999998,28.863718212705002,8.108996054599999,53.408080305305,38.0,98.0,72.0,0.5,2026-02-20T14:43:00.262351
33,251.192164,77.021761,134.746997,37.900991,3432.48876953125,10940.0,10615.47705078125,213.702,215.332,215.332,214.632,214.632,214.632,16.522477104436998,28.968178909054,8.134765500312001,53.625421513803,38.0,97.0,73.0,0.5,2026-02-20T14:43:00.515385
34,251.259255,77.155274,134.803998,37.83905,3432.48876953125,10940.0,10615.47705078125,214.632,212.619,212.619,215.136,215.136,214.314,16.482333985887,28.831542082245,8.12499001125,53.438866079382,38.0,97.0,76.0,0.5,2026-02-20T14:43:00.768641
35,251.420767,76.94432,135.107533,37.893061,3432.48876953125,10940.0,10615.47705078125,214.314,214.927,214.927,214.997,214.997,214.997,16.51382843056,29.042985508746,8.146894435817,53.703708375123,38.0,97.0,77.0,0.6,2026-02-20T14:43:01.022102
36,250.96278,76.968041,134.672566,37.84318,3432.48876953125,10940.0,10615.47705078125,214.997,212.124,212.124,215.007,215.007,214.544,16.4373333199805,28.761413894072998,8.127787906090001,53.3265351201435,38.0,98.0,70.0,0.6,2026-02-20T14:43:01.274725
37,251.776163,77.181723,134.940831,38.142735,3432.48876953125,10940.0,10615.47705078125,214.544,214.14,214.14,214.439,214.439,214.439,16.543284871265996,28.9164032045745,8.179289950665,53.6389780265055,38.0,98.0,76.0,0.5,2026-02-20T14:43:01.528507
38,251.691071,76.995701,135.257065,37.958522,3432.48876953125,10940.0,10615.47705078125,214.439,211.939,211.939,215.203,215.203,215.203,16.414636500489,28.886986629115,8.168787809966,53.470410939569994,39.0,96.0,75.0,0.5,2026-02-20T14:43:01.782252
39,251.221814,77.071153,134.858908,37.770309,3432.48876953125,10940.0,10615.47705078125,215.203,213.608,213.608,214.598,214.598,214.598,16.5244790945415,28.873696779524,8.105432770782,53.5036086448475,39.0,97.0,76.0,0.5,2026-02-20T14:43:02.035399
40,251.546649,77.219095,135.025431,37.83625,3432.48876953125,10940.0,10615.47705078125,214.598,211.832,211.832,214.961,214.961,214.961,16.464269340425002,28.8139543863915,8.13331813625,53.4115418630665,39.0,99.0,69.0,0.5,2026-02-20T14:43:02.289011
41,251.445787,77.058032,135.017691,37.7925,3432.48876953125,10940.0,10615.47705078125,214.961,213.257,213.257,214.837,214.837,212.628,16.498818173488,28.900131705476998,8.07748550625,53.476435385215,39.0,96.0,76.0,0.6,2026-02-20T14:43:02.542537
42,251.355106,76.96364,135.100123,37.83218,3432.48876953125,10940.0,10615.47705078125,212.628,212.628,212.628,214.872,214.872,214.872,16.364624845919998,28.877651291249997,8.12907618096,53.37135231812999,39.0,97.0,76.0,0.5,2026-02-20T14:43:02.795572
43,252.23707,77.367297,135.383736,37.961702,3432.48876953125,10940.0,10615.47705078125,214.872,212.698,212.698,214.859,214.859,212.864,16.539967589145004,28.942132006476,8.118546532273001,53.60064612789401,39.0,98.0,74.0,0.5,2026-02-20T14:43:03.049974
44,251.525299,77.179534,135.064452,37.81558,3432.48876953125,10940.0,10615.47705078125,212.864,212.864,212.864,214.987,214.987,214.987,16.428744325375998,28.893730426326,8.12985809746,53.452332849162005,39.0,97.0,70.0,0.5,2026-02-20T14:43:03.303507
